品类,标准合同一级科目,标准合同二级科目,标准合同名称,标准合同编号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,EPC设计费,甲指土建EPC设计费,甲指土建EPC设计合同,BZSJ-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,专业工程暂估,土建专业工程暂估,土建专业工程暂估合同,BZZYZG-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,专业工程暂估,机电专业工程暂估,机电专业工程暂估合同,BZZYZG-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,企业管理费,咨询服务费,物料验收系统供货及安装合同,BZKB-098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,企业管理费,咨询服务费,礼仪服务分包合同,BZKB-080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,其他收入,总承包服务费,总承包服务分包合同,BZQTSR-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,勘察设计费,甲指土建勘察费,甲指土建勘察合同,BZSJ-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,勘察设计费,甲指土建设计费,甲指土建设计合同,BZSJ-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,主体结构工程费,屋顶拉索施工分包合同,BZFJ-046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,主体结构工程费,结构剪力墙螺杆洞封堵分包合同,BZFJ-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,主体结构工程费,脚手架工程分包合同,BZKB-049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,主体结构工程费,预制构件施工分包合同,BZFJ-086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,主体结构工程费,预应力施工分包合同,BZFJ-020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,二次结构及粗装修工程费,二次结构及粗装修分包合同,BZFJ-057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,二次结构及粗装修工程费,安石粉施工分包合同,BZFJ-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,二次结构及粗装修工程费,排气道供货及安装合同,BZFJ-059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,二次结构及粗装修工程费,轻质隔墙供货及安装合同,BZFJ-061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,二次结构及粗装修工程费,轻集料混凝土分包合同,BZFJ-031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,二次结构及粗装修工程费,预制设备基础分包合同,BZFJ-163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,交安工程费,交安工程分包合同,BZFJ-091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,交安工程费,机械车位施工分包合同,BZFJ-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
