p.project_no,项目名称,项目类型,pe.work_model,所属组织,o.org_code
1090127,雄忻高铁雄安新区地上部分相关配套工程四标段,0,4,中建一局集团装饰工程有限公司,0001010000430010
1090123,8.6代有源矩阵有机发光显示器件生产线项目厂房及厂务设施项目装饰工程,0,4,中建一局集团装饰工程有限公司,0001010000430010
1086936,第三批央企在京老旧小区综合整治项目（标包三百六十三） （朝阳区亚运村街道）工程总承包（EPC）,0,5,中建一局集团装饰工程有限公司,0001010000430010
1077638,第二批央企在京老旧小区综合整治项目(标包一百三十四)(丰台区东高地街道)(工程总承包),0,2,中建一局集团装饰工程有限公司,0001010000430010
1055556,长春汽车检测中心有限责任公司农安试验场升级改造项目,0,5,中建一局集团装饰工程有限公司,0001010000430010
1049835,台泥杭州环保科技总部工程办公区精装修专业分包工程,0,11,中建一局集团装饰工程有限公司,0001010000430010
1048504,融园济南唐冶东路项目精装修工程,0,11,中建一局集团装饰工程有限公司,0001010000430010
1025069,中联智慧产业城办公与研发中心、大数据与会议中心精装修采购分包工程,0,11,中建一局集团装饰工程有限公司,0001010000430010
1023297,中央储备粮大庆直属库有限公司粮食仓储物流项目（一标段）,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
1020787,中建智地京西公司韩建河山大厦十二层办公室精装修工程,0,11,中建一局集团装饰工程有限公司,0001010000430010
1009262,中央储备粮大庆直属库有限公司粮食仓储物流项目一标段,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
1001062,国旅长安大厦B1食堂装修改造施工项目,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
998089,汉川市支行营运用房装修改造项目工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
998087,温州市仰双片区黄龙单元垟田村B-02、B-05地块项目公区精装修工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
996396,玉林职业技术学院项目（一期）精装修工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
996375,台州市域铁路S1线一期工程车站装修及设备安装专业分包工程（4工区）项目,0,11,中建一局集团装饰工程有限公司,0001010000430010
993744,惠科6英寸晶圆半导体功率器件及第三代半导体项目TDS厂房施工总承包,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
993170,伊春市应急物资储备库建设项目EPC总承包,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
992811,华夏人寿保险股份有限公司济宁中心支公司职场装修工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
108207,太原远大购物广场风玺湾（二期）南上庄城中村改造项目装饰装修工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
106682,青岛蓝色生物产业园配套商住项目2#地块及4#地块正式物业用房装修工程施工,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
93032,温州荣悦项目公共区域精装修工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
94580,华北所科技大厦食堂改造工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
80672,碧桂园·悦华府1#、2#、3#、5#、6#楼及地下室精修工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
80671,荆州碧桂园一期 12#、17#、18#楼及地下室装修工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
67728,南京德基丽思酒店40层水疗中心装饰工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
35326,北京市仁和医院改造工程项目,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
39749,无锡万达城B2-2地块公共区域装饰工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
61556,外协人员业务用房装饰工程,0,11,中建一局集团装饰工程有限公司,0001010000430010
30868,南昌万达城住宅L1区室内公共区域装饰工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
44806,太和县公共文化服务建设项目（六馆两中心）1#、2#楼内装工程施工总承包,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
44497,北京鲜活农产品流通中心冷库与制冰间工程—机电项目,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
45583,中国航天科技集团公司卫星城（固安）科技大道标准房装修改造工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
27076,海南博鳌-金海湾项目1#2#5#6#住宅楼安装、精装修工程,0,4,中建一局集团装饰工程有限公司,0001010000430010
27204,博鳌.银丰国际医院项目工程（一期）,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
824868,荆州碧桂园新城楚天府项目一期二标段精装修总包工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
14143,中国船级社质量认证公司业务楼装修改造工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
823047,中国农业银行公主坟办公楼综合维修改造工程-劳务,NULL,NULL,中建一局集团装饰工程有限公司,0001010000430010
18368,海航地产营销体验中心（北京）工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
9217,丽苑公寓改造3~6层室内精装修工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
11177,合肥健康管理中心装修施工项目,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
9172,唐山健康管理中心装修施工项目,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
8234,北京和成畅（璟）园项目14#、16#楼精装修工程,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
7246,南京句容碧桂园项目,0,NULL,中建一局集团装饰工程有限公司,0001010000430010
